Cell	Percent.Mitochondria	hpca	nCount_RNA	nFeature_RNA	Lineage
Cell_8071	0.3	Epithelial_cells	1180	889	Epithelial_cells
Cell_8072	0	Macrophage	827	643	Immune_cells
Cell_8073	0	Astrocyte	1629	1071	
Cell_8074	0	B_cell	1433	996	Immune_cells
Cell_8075	0	Fibroblasts	802	608	Stromal_cells
Cell_8076	0.3	T_cells	988	735	Immune_cells
Cell_8077	0	Epithelial_cells	3787	1969	Epithelial_cells
Cell_8078	0	T_cells	1198	919	Immune_cells
Cell_8079	0	NK_cell	500	432	Immune_cells
Cell_8080	0	T_cells	997	787	Immune_cells
Cell_8081	0	Smooth_muscle_cells	815	645	Stromal_cells
Cell_8082	0	Platelets	712	570	
Cell_8083	0.3	Platelets	648	531	
Cell_8084	0	Endothelial_cells	1528	1037	Stromal_cells
Cell_8085	0	Epithelial_cells	4413	2602	Epithelial_cells
Cell_8086	0.2	Macrophage	1821	1263	Immune_cells
Cell_8087	0	Smooth_muscle_cells	528	451	Stromal_cells
Cell_8088	0	Osteoblasts	512	437	Stromal_cells
Cell_8089	0	Epithelial_cells	2091	1323	Epithelial_cells
Cell_8090	1.3	DC	790	657	
Cell_8091	0.2	HSC_-G-CSF	1718	1113	
Cell_8092	0	Fibroblasts	694	554	Stromal_cells
Cell_8093	0	B_cell	914	684	Immune_cells
Cell_8094	0.1	Fibroblasts	961	636	Stromal_cells
Cell_8095	0	Endothelial_cells	8085	3439	Stromal_cells
Cell_8096	0	Astrocyte	555	494	
Cell_8097	0.2	NK_cell	547	467	Immune_cells
Cell_8098	0	Smooth_muscle_cells	501	442	Stromal_cells
Cell_8099	0.4	T_cells	513	442	Immune_cells
Cell_8100	0	T_cells	569	476	Immune_cells
Cell_8101	0	B_cell	1106	829	Immune_cells
Cell_8102	0	Smooth_muscle_cells	938	704	Stromal_cells
Cell_8103	0	T_cells	641	560	Immune_cells
Cell_8104	0	Fibroblasts	1189	874	Stromal_cells
Cell_8105	0.1	T_cells	1012	783	Immune_cells
Cell_8106	0.1	Macrophage	1823	1269	Immune_cells
Cell_8107	0.3	Fibroblasts	748	610	Stromal_cells
Cell_8108	0.3	Fibroblasts	1485	949	Stromal_cells
Cell_8109	0.3	MSC	714	606	
Cell_8110	0.1	T_cells	861	676	Immune_cells
Cell_8111	0	Tissue_stem_cells	1718	1103	
Cell_8112	0.1	Neuroepithelial_cell	1199	903	
Cell_8113	0.1	NK_cell	743	593	Immune_cells
Cell_8114	0.2	Smooth_muscle_cells	1209	914	Stromal_cells
Cell_8115	0.2	Fibroblasts	592	493	Stromal_cells
Cell_8116	0.1	Epithelial_cells	1294	943	Epithelial_cells
Cell_8117	0	T_cells	917	720	Immune_cells
Cell_8118	0.2	Smooth_muscle_cells	563	461	Stromal_cells
Cell_8119	0	Astrocyte	494	430	
Cell_8120	0.1	T_cells	1404	1046	Immune_cells
Cell_8121	0.1	T_cells	963	737	Immune_cells
Cell_8122	0	Smooth_muscle_cells	1482	1017	Stromal_cells
Cell_8123	0.1	Smooth_muscle_cells	1834	1263	Stromal_cells
Cell_8124	0.7	Macrophage	1208	880	Immune_cells
Cell_8125	0.1	T_cells	771	629	Immune_cells
Cell_8126	0	T_cells	829	663	Immune_cells
Cell_8127	0	T_cells	639	547	Immune_cells
Cell_8128	0	Endothelial_cells	976	792	Stromal_cells
Cell_8129	0.1	Epithelial_cells	1284	999	Epithelial_cells
Cell_8130	0	Endothelial_cells	972	759	Stromal_cells
Cell_8131	0.3	NK_cell	790	663	Immune_cells
Cell_8132	0.1	Endothelial_cells	1610	1082	Stromal_cells
Cell_8133	0.1	Endothelial_cells	1465	1072	Stromal_cells
Cell_8134	0	Epithelial_cells	1888	1234	Epithelial_cells
Cell_8135	0	Smooth_muscle_cells	596	511	Stromal_cells
Cell_8136	0.1	Endothelial_cells	834	643	Stromal_cells
Cell_8137	0.2	Smooth_muscle_cells	1591	983	Stromal_cells
Cell_8138	0.1	Fibroblasts	1008	722	Stromal_cells
Cell_8139	0.1	Fibroblasts	688	598	Stromal_cells
Cell_8140	0.2	Platelets	533	445	
Cell_8141	0.1	T_cells	1067	799	Immune_cells
Cell_8142	0	T_cells	720	576	Immune_cells
Cell_8143	0.3	Osteoblasts	2736	1908	Stromal_cells
Cell_8144	0.2	T_cells	573	489	Immune_cells
Cell_8145	0.1	Epithelial_cells	1834	1164	Epithelial_cells
Cell_8146	0	Neurons	560	485	
Cell_8147	0.1	Epithelial_cells	1115	806	Epithelial_cells
Cell_8148	0.1	HSC_-G-CSF	7895	3782	
Cell_8149	0	Fibroblasts	1146	795	Stromal_cells
Cell_8150	0	Fibroblasts	794	602	Stromal_cells
Cell_8151	0.2	B_cell	1076	812	Immune_cells
Cell_8152	0	Chondrocytes	681	557	Stromal_cells
Cell_8153	0.1	Endothelial_cells	686	519	Stromal_cells
Cell_8154	0.1	Endothelial_cells	1370	981	Stromal_cells
Cell_8155	4	NK_cell	1021	777	Immune_cells
Cell_8156	7.8	T_cells	740	573	Immune_cells
Cell_8157	4	Chondrocytes	575	446	Stromal_cells
Cell_8158	10.1	Macrophage	727	426	Immune_cells
Cell_8159	0.6	Epithelial_cells	1577	1144	Epithelial_cells
Cell_8160	2.4	T_cells	1994	1416	Immune_cells
Cell_8161	7.5	T_cells	642	513	Immune_cells
Cell_8162	0.5	T_cells	1639	1184	Immune_cells
Cell_8163	24.7	Epithelial_cells	13048	4230	Epithelial_cells
Cell_8164	0.6	T_cells	1753	1095	Immune_cells
Cell_8165	28.8	Epithelial_cells	7413	2942	Epithelial_cells
Cell_8166	0.6	T_cells	863	673	Immune_cells
Cell_8167	4.9	T_cells	616	507	Immune_cells
Cell_8168	2.2	T_cells	681	575	Immune_cells
Cell_8169	0.8	Epithelial_cells	612	475	Epithelial_cells
Cell_8170	16.6	Smooth_muscle_cells	595	447	Stromal_cells
Cell_8171	25.9	Epithelial_cells	5267	2333	Epithelial_cells
Cell_8172	6.1	Macrophage	1229	729	Immune_cells
Cell_8173	13	CMP	539	394	
Cell_8174	64.1	Chondrocytes	1065	349	Stromal_cells
Cell_8175	5.9	NK_cell	1114	803	Immune_cells
Cell_8176	7.7	T_cells	601	470	Immune_cells
Cell_8177	8.1	B_cell	542	404	Immune_cells
Cell_8178	28.8	Epithelial_cells	15852	4581	Epithelial_cells
Cell_8179	0.5	Epithelial_cells	28527	6849	Epithelial_cells
Cell_8180	26.5	Fibroblasts	10878	3701	Stromal_cells
Cell_8181	5.5	Endothelial_cells	656	510	Stromal_cells
Cell_8182	5.6	NK_cell	874	676	Immune_cells
Cell_8183	19.2	Epithelial_cells	986	684	Epithelial_cells
Cell_8184	1	Epithelial_cells	50982	7852	Epithelial_cells
Cell_8185	36.9	Epithelial_cells	9386	3089	Epithelial_cells
Cell_8186	8.1	Epithelial_cells	542	433	Epithelial_cells
Cell_8187	8	T_cells	1744	1212	Immune_cells
Cell_8188	0.5	T_cells	3560	2334	Immune_cells
Cell_8189	0.4	NK_cell	1336	1039	Immune_cells
Cell_8190	0.9	DC	846	688	
Cell_8191	4.4	T_cells	781	612	Immune_cells
Cell_8192	0.4	DC	898	552	
Cell_8193	0.7	Tissue_stem_cells	728	570	
Cell_8194	0.6	T_cells	813	669	Immune_cells
Cell_8195	0.2	B_cell	1850	1317	Immune_cells
Cell_8196	6.5	T_cells	617	448	Immune_cells
Cell_8197	6.7	Macrophage	979	551	Immune_cells
Cell_8198	9.6	Macrophage	634	441	Immune_cells
Cell_8199	10.7	NK_cell	796	607	Immune_cells
Cell_8200	8.7	Macrophage	1003	661	Immune_cells
Cell_8201	2.9	T_cells	519	454	Immune_cells
Cell_8202	5.5	T_cells	889	699	Immune_cells
Cell_8203	4.7	T_cells	600	495	Immune_cells
Cell_8204	0.3	T_cells	1519	1141	Immune_cells
Cell_8205	0.8	Macrophage	769	595	Immune_cells
Cell_8206	42.7	Smooth_muscle_cells	951	476	Stromal_cells
Cell_8207	32.4	Macrophage	537	307	Immune_cells
Cell_8208	7.3	Chondrocytes	1227	888	Stromal_cells
Cell_8209	3.8	Macrophage	807	622	Immune_cells
Cell_8210	7.5	T_cells	1299	873	Immune_cells
Cell_8211	5	Chondrocytes	1097	780	Stromal_cells
Cell_8212	0.5	Fibroblasts	655	572	Stromal_cells
Cell_8213	2.8	T_cells	1046	762	Immune_cells
Cell_8214	30.2	Epithelial_cells	5809	2080	Epithelial_cells
Cell_8215	3.8	T_cells	552	456	Immune_cells
Cell_8216	50.6	Neuroepithelial_cell	1224	503	
Cell_8217	0.5	T_cells	1583	1120	Immune_cells
Cell_8218	4.9	T_cells	614	471	Immune_cells
Cell_8219	5.2	Neurons	519	428	
Cell_8220	3.8	Chondrocytes	866	624	Stromal_cells
Cell_8221	0.7	NK_cell	1248	934	Immune_cells
Cell_8222	6	T_cells	564	437	Immune_cells
Cell_8223	37.3	Epithelial_cells	7171	2481	Epithelial_cells
Cell_8224	22.7	Epithelial_cells	635	427	Epithelial_cells
Cell_8225	41	Epithelial_cells	2766	1219	Epithelial_cells
Cell_8226	0.6	Epithelial_cells	1091	855	Epithelial_cells
Cell_8227	0.4	Epithelial_cells	13908	4817	Epithelial_cells
Cell_8228	1.8	T_cells	1508	1107	Immune_cells
Cell_8229	12.6	Macrophage	6775	2741	Immune_cells
Cell_8230	0.5	T_cells	1040	844	Immune_cells
Cell_8231	0.5	T_cells	1031	775	Immune_cells
Cell_8232	1	Smooth_muscle_cells	874	678	Stromal_cells
Cell_8233	3.4	T_cells	583	477	Immune_cells
Cell_8234	3.5	NK_cell	1785	1235	Immune_cells
Cell_8235	1	GMP	617	315	
Cell_8236	1	B_cell	5695	2787	Immune_cells
Cell_8237	22.4	Epithelial_cells	9094	3410	Epithelial_cells
Cell_8238	4.9	T_cells	512	441	Immune_cells
Cell_8239	34.1	Neurons	999	574	
Cell_8240	6.3	T_cells	624	528	Immune_cells
Cell_8241	11.6	T_cells	516	391	Immune_cells
Cell_8242	5.7	T_cells	639	529	Immune_cells
Cell_8243	3.7	T_cells	897	722	Immune_cells
Cell_8244	11.2	NK_cell	819	629	Immune_cells
Cell_8245	0.6	T_cells	1251	947	Immune_cells
Cell_8246	5.9	Macrophage	20198	6398	Immune_cells
Cell_8247	0.5	B_cell	747	582	Immune_cells
Cell_8248	0.5	NK_cell	1102	819	Immune_cells
Cell_8249	2.3	T_cells	1253	942	Immune_cells
Cell_8250	2.3	B_cell	4015	859	Immune_cells
Cell_8251	0.4	NK_cell	1155	934	Immune_cells
Cell_8252	2.9	Fibroblasts	5450	2451	Stromal_cells
Cell_8253	0.3	T_cells	959	786	Immune_cells
Cell_8254	3.6	NK_cell	2019	1324	Immune_cells
Cell_8255	12.1	NK_cell	613	471	Immune_cells
Cell_8256	0.1	Epithelial_cells	1854	1276	Epithelial_cells
Cell_8257	4.2	Macrophage	856	657	Immune_cells
Cell_8258	5.6	Macrophage	733	593	Immune_cells
Cell_8259	59	Tissue_stem_cells	1081	421	
Cell_8260	12.4	Epithelial_cells	1234	885	Epithelial_cells
Cell_8261	0.7	Endothelial_cells	728	604	Stromal_cells
Cell_8262	0.5	Neuroepithelial_cell	1329	979	
Cell_8263	6.6	Fibroblasts	1718	1168	Stromal_cells
Cell_8264	18.1	Tissue_stem_cells	1198	804	
Cell_8265	0.3	Fibroblasts	1126	859	Stromal_cells
Cell_8266	0.6	T_cells	960	765	Immune_cells
Cell_8267	7.3	CMP	1346	980	
Cell_8268	8.3	NK_cell	630	513	Immune_cells
Cell_8269	2.8	Epithelial_cells	719	589	Epithelial_cells
Cell_8270	6.5	T_cells	1027	700	Immune_cells
Cell_8271	0.6	T_cells	1419	1038	Immune_cells
Cell_8272	3.8	Macrophage	529	409	Immune_cells
Cell_8273	12.6	NK_cell	653	473	Immune_cells
Cell_8274	5	T_cells	926	696	Immune_cells
Cell_8275	0.8	T_cells	1013	799	Immune_cells
Cell_8276	0.4	Osteoblasts	1657	1176	Stromal_cells
Cell_8277	14.4	Epithelial_cells	1890	1172	Epithelial_cells
Cell_8278	14.4	NK_cell	664	499	Immune_cells
Cell_8279	1.4	T_cells	508	425	Immune_cells
Cell_8280	5.1	Pre-B_cell_CD34-	683	555	
Cell_8281	3.1	Smooth_muscle_cells	1221	856	Stromal_cells
Cell_8282	4.2	Endothelial_cells	2181	1551	Stromal_cells
Cell_8283	12.7	Epithelial_cells	1393	952	Epithelial_cells
Cell_8284	10.9	Epithelial_cells	1618	980	Epithelial_cells
Cell_8285	43.9	Epithelial_cells	4620	1788	Epithelial_cells
Cell_8286	4.9	Smooth_muscle_cells	2420	1557	Stromal_cells
Cell_8287	21.2	Epithelial_cells	3331	1777	Epithelial_cells
Cell_8288	28.8	Epithelial_cells	4339	1950	Epithelial_cells
Cell_8289	10.1	T_cells	543	429	Immune_cells
Cell_8290	0.3	B_cell	1906	1305	Immune_cells
Cell_8291	6.3	T_cells	695	555	Immune_cells
Cell_8292	6.8	NK_cell	556	468	Immune_cells
Cell_8293	7.9	Epithelial_cells	1165	748	Epithelial_cells
Cell_8294	12.7	CMP	1093	726	
Cell_8295	4.1	Smooth_muscle_cells	632	505	Stromal_cells
Cell_8296	5.8	T_cells	623	418	Immune_cells
Cell_8297	1.4	Tissue_stem_cells	953	777	
Cell_8298	6.3	Pre-B_cell_CD34-	797	356	
Cell_8299	11.9	Macrophage	1062	745	Immune_cells
Cell_8300	0.3	T_cells	962	794	Immune_cells
Cell_8301	35	Epithelial_cells	4304	1773	Epithelial_cells
Cell_8302	8.6	T_cells	607	499	Immune_cells
Cell_8303	7.5	Chondrocytes	994	624	Stromal_cells
Cell_8304	1.1	Smooth_muscle_cells	7956	3636	Stromal_cells
Cell_8305	11	Epithelial_cells	1154	827	Epithelial_cells
Cell_8306	0.2	Smooth_muscle_cells	2335	1635	Stromal_cells
Cell_8307	0.2	T_cells	1541	1092	Immune_cells
Cell_8308	0	T_cells	559	482	Immune_cells
Cell_8309	78.3	MSC	1505	300	
Cell_8310	1.6	Epithelial_cells	930	743	Epithelial_cells
Cell_8311	23.7	Epithelial_cells	5759	2495	Epithelial_cells
Cell_8312	0.2	Macrophage	12229	4133	Immune_cells
Cell_8313	1.5	Chondrocytes	1626	1148	Stromal_cells
Cell_8314	4.7	T_cells	745	622	Immune_cells
Cell_8315	33.7	Epithelial_cells	6239	2487	Epithelial_cells
Cell_8316	0.2	Chondrocytes	505	452	Stromal_cells
Cell_8317	15.1	Macrophage	2769	1378	Immune_cells
Cell_8318	0.2	Chondrocytes	572	448	Stromal_cells
Cell_8319	5.6	T_cells	640	522	Immune_cells
Cell_8320	6.1	T_cells	817	599	Immune_cells
Cell_8321	60.4	Epithelial_cells	809	292	Epithelial_cells
Cell_8322	20.9	Epithelial_cells	634	438	Epithelial_cells
Cell_8323	42.3	Epithelial_cells	4848	1865	Epithelial_cells
Cell_8324	5.5	T_cells	15113	5836	Immune_cells
Cell_8325	11.3	Macrophage	2939	1423	Immune_cells
Cell_8326	11.6	T_cells	520	409	Immune_cells
Cell_8327	23.7	Epithelial_cells	2517	1367	Epithelial_cells
Cell_8328	6.9	Monocyte	2100	1135	Immune_cells
Cell_8329	15.4	NK_cell	499	380	Immune_cells
Cell_8330	20.6	Epithelial_cells	5606	2638	Epithelial_cells
Cell_8331	7.3	T_cells	508	421	Immune_cells
Cell_8332	0.2	T_cells	5680	3066	Immune_cells
Cell_8333	2	Fibroblasts	2297	1447	Stromal_cells
Cell_8334	0.9	Tissue_stem_cells	704	564	
Cell_8335	6	Chondrocytes	664	538	Stromal_cells
Cell_8336	2.9	Fibroblasts	561	471	Stromal_cells
Cell_8337	10.3	T_cells	673	521	Immune_cells
Cell_8338	9.6	Epithelial_cells	1900	1248	Epithelial_cells
Cell_8339	6	T_cells	603	477	Immune_cells
Cell_8340	0.2	T_cells	1291	977	Immune_cells
Cell_8341	5.1	T_cells	830	664	Immune_cells
Cell_8342	0.4	Epithelial_cells	543	383	Epithelial_cells
Cell_8343	21.1	Epithelial_cells	9668	3561	Epithelial_cells
Cell_8344	0.6	T_cells	1401	911	Immune_cells
Cell_8345	10.5	T_cells	582	439	Immune_cells
Cell_8346	5	T_cells	525	445	Immune_cells
Cell_8347	25	Epithelial_cells	5575	2493	Epithelial_cells
Cell_8348	0.5	Smooth_muscle_cells	5653	2999	Stromal_cells
Cell_8349	2.9	NK_cell	1028	778	Immune_cells
Cell_8350	23.5	Epithelial_cells	9144	3430	Epithelial_cells
Cell_8351	8.1	Macrophage	1037	806	Immune_cells
Cell_8352	24.6	Epithelial_cells	4173	2020	Epithelial_cells
Cell_8353	22.9	Epithelial_cells	4056	2077	Epithelial_cells
Cell_8354	11.7	T_cells	549	427	Immune_cells
Cell_8355	2.1	Macrophage	6102	2859	Immune_cells
Cell_8356	23.9	Epithelial_cells	3333	1592	Epithelial_cells
Cell_8357	7.1	T_cells	787	632	Immune_cells
Cell_8358	50.3	Epithelial_cells	4062	1357	Epithelial_cells
Cell_8359	0.9	Neurons	549	416	
Cell_8360	7.1	B_cell	521	400	Immune_cells
Cell_8361	0.3	T_cells	1563	1112	Immune_cells
Cell_8362	1	B_cell	493	411	Immune_cells
Cell_8363	0.8	Astrocyte	1156	885	
Cell_8364	33.2	Epithelial_cells	2006	1045	Epithelial_cells
Cell_8365	7.1	NK_cell	801	665	Immune_cells
Cell_8366	58.7	Epithelial_cells	1423	520	Epithelial_cells
Cell_8367	8.2	NK_cell	656	507	Immune_cells
Cell_8368	4.5	Macrophage	1681	1166	Immune_cells
Cell_8369	1	T_cells	1554	1077	Immune_cells
Cell_8370	1.2	Monocyte	955	768	Immune_cells
Cell_8371	0.4	Endothelial_cells	13055	5195	Stromal_cells
Cell_8372	0.9	Osteoblasts	2038	1367	Stromal_cells
Cell_8373	0.6	B_cell	968	786	Immune_cells
Cell_8374	0.6	Epithelial_cells	1629	1120	Epithelial_cells
Cell_8375	0.4	T_cells	7448	3563	Immune_cells
Cell_8376	0.1	Macrophage	1647	1097	Immune_cells
Cell_8377	0.7	T_cells	804	691	Immune_cells
Cell_8378	0.4	Platelets	2290	1580	
Cell_8379	0.3	T_cells	741	632	Immune_cells
Cell_8380	0.3	Chondrocytes	5475	3071	Stromal_cells
Cell_8381	0.9	NK_cell	913	744	Immune_cells
Cell_8382	0.2	T_cells	1138	905	Immune_cells
Cell_8383	0.3	NK_cell	879	754	Immune_cells
Cell_8384	0.6	Epithelial_cells	1003	738	Epithelial_cells
Cell_8385	0.5	Smooth_muscle_cells	1079	858	Stromal_cells
Cell_8386	0.4	Macrophage	1918	1321	Immune_cells
Cell_8387	1.5	T_cells	995	796	Immune_cells
Cell_8388	0.4	NK_cell	783	663	Immune_cells
Cell_8389	0.1	Endothelial_cells	726	608	Stromal_cells
Cell_8390	0.9	Epithelial_cells	6674	3331	Epithelial_cells
Cell_8391	0.9	T_cells	891	732	Immune_cells
Cell_8392	0.4	Chondrocytes	4885	2856	Stromal_cells
Cell_8393	0.3	Epithelial_cells	1992	1309	Epithelial_cells
Cell_8394	0.5	HSC_-G-CSF	798	673	
Cell_8395	0.6	Macrophage	638	529	Immune_cells
Cell_8396	0.6	T_cells	630	550	Immune_cells
Cell_8397	0.2	T_cells	859	689	Immune_cells
Cell_8398	1.4	T_cells	1012	799	Immune_cells
Cell_8399	0.8	T_cells	1286	992	Immune_cells
Cell_8400	0.4	Fibroblasts	8717	4153	Stromal_cells
Cell_8401	0.7	HSC_-G-CSF	744	630	
Cell_8402	1.1	T_cells	663	579	Immune_cells
Cell_8403	0.8	Macrophage	644	530	Immune_cells
Cell_8404	0.8	T_cells	794	677	Immune_cells
Cell_8405	0.2	NK_cell	1289	967	Immune_cells
Cell_8406	0.1	T_cells	782	668	Immune_cells
Cell_8407	1	Platelets	572	503	
Cell_8408	0.1	Monocyte	1643	1174	Immune_cells
Cell_8409	0.5	B_cell	1684	1140	Immune_cells
Cell_8410	0.7	NK_cell	1042	799	Immune_cells
Cell_8411	0.3	Platelets	997	786	
Cell_8412	0.8	Macrophage	1575	1190	Immune_cells
Cell_8413	0.8	T_cells	792	681	Immune_cells
Cell_8414	0.2	Fibroblasts	3679	2216	Stromal_cells
Cell_8415	2.9	Osteoblasts	1790	1219	Stromal_cells
Cell_8416	1	NK_cell	937	776	Immune_cells
Cell_8417	0.6	Platelets	2431	1669	
Cell_8418	0.6	MSC	96316	11098	
Cell_8419	0.8	NK_cell	595	522	Immune_cells
Cell_8420	0.7	T_cells	985	782	Immune_cells
Cell_8421	0.2	T_cells	970	770	Immune_cells
Cell_8422	0.3	Epithelial_cells	1840	1362	Epithelial_cells
Cell_8423	0.5	MSC	8159	3862	
Cell_8424	0.3	Astrocyte	1881	1205	
Cell_8425	0.2	T_cells	1077	871	Immune_cells
Cell_8426	0.6	T_cells	524	455	Immune_cells
Cell_8427	0.3	Epithelial_cells	5033	2638	Epithelial_cells
Cell_8428	0.7	B_cell	607	527	Immune_cells
Cell_8429	0.2	T_cells	3134	2044	Immune_cells
Cell_8430	0.8	Epithelial_cells	654	539	Epithelial_cells
Cell_8431	0.4	T_cells	710	595	Immune_cells
Cell_8432	0.4	Endothelial_cells	3418	2167	Stromal_cells
Cell_8433	0.5	Epithelial_cells	5376	2818	Epithelial_cells
Cell_8434	0.4	T_cells	819	694	Immune_cells
Cell_8435	0.7	Platelets	717	590	
Cell_8436	0.5	T_cells	1043	833	Immune_cells
Cell_8437	0.5	Smooth_muscle_cells	634	545	Stromal_cells
Cell_8438	0.5	NK_cell	923	748	Immune_cells
Cell_8439	0.4	Chondrocytes	541	472	Stromal_cells
Cell_8440	0.4	Macrophage	2100	1347	Immune_cells
Cell_8441	0.4	T_cells	820	674	Immune_cells
Cell_8442	0.3	Macrophage	12352	4787	Immune_cells
Cell_8443	0.6	Astrocyte	3907	2284	
Cell_8444	0.4	T_cells	740	644	Immune_cells
Cell_8445	0.4	T_cells	900	744	Immune_cells
Cell_8446	0.2	Platelets	3839	2368	
Cell_8447	1	T_cells	526	461	Immune_cells
Cell_8448	0.3	Platelets	1077	863	
Cell_8449	0.5	T_cells	910	750	Immune_cells
Cell_8450	0.7	NK_cell	3169	2042	Immune_cells
Cell_8451	0.7	Macrophage	1773	1293	Immune_cells
Cell_8452	0.7	Macrophage	761	614	Immune_cells
Cell_8453	0.5	T_cells	819	675	Immune_cells
Cell_8454	0.5	T_cells	847	711	Immune_cells
Cell_8455	0.6	T_cells	646	555	Immune_cells
Cell_8456	0.6	T_cells	982	820	Immune_cells
Cell_8457	0.3	Fibroblasts	8276	3895	Stromal_cells
Cell_8458	0.4	Neurons	25900	7163	
Cell_8459	0.4	T_cells	918	729	Immune_cells
Cell_8460	0.6	T_cells	1403	1076	Immune_cells
Cell_8461	0.1	Fibroblasts	1838	1299	Stromal_cells
Cell_8462	0.7	T_cells	716	613	Immune_cells
Cell_8463	0.6	NK_cell	1089	857	Immune_cells
Cell_8464	0.8	T_cells	729	621	Immune_cells
Cell_8465	0.3	T_cells	1429	1057	Immune_cells
Cell_8466	2	T_cells	843	711	Immune_cells
Cell_8467	0.4	Fibroblasts	2910	1856	Stromal_cells
Cell_8468	1	T_cells	602	500	Immune_cells
Cell_8469	0.8	Macrophage	727	600	Immune_cells
Cell_8470	0.3	Neurons	15130	5407	
Cell_8471	0.6	T_cells	898	749	Immune_cells
Cell_8472	0.4	Fibroblasts	1811	1288	Stromal_cells
Cell_8473	0.7	T_cells	1224	962	Immune_cells
Cell_8474	0.9	NK_cell	1978	1441	Immune_cells
Cell_8475	1.1	Epithelial_cells	5705	3042	Epithelial_cells
Cell_8476	0.7	B_cell	1049	829	Immune_cells
Cell_8477	0.3	T_cells	1019	832	Immune_cells
Cell_8478	0.3	Macrophage	649	560	Immune_cells
Cell_8479	0.3	T_cells	892	742	Immune_cells
Cell_8480	0.4	Smooth_muscle_cells	926	718	Stromal_cells
Cell_8481	0.3	Fibroblasts	5001	2851	Stromal_cells
Cell_8482	0.7	NK_cell	1359	1050	Immune_cells
Cell_8483	0.4	T_cells	936	750	Immune_cells
Cell_8484	0.3	T_cells	1155	889	Immune_cells
Cell_8485	1.1	Macrophage	1112	878	Immune_cells
Cell_8486	0.3	NK_cell	14572	5354	Immune_cells
Cell_8487	0.7	T_cells	885	751	Immune_cells
Cell_8488	0.4	Fibroblasts	1191	835	Stromal_cells
Cell_8489	0.4	Macrophage	12213	5112	Immune_cells
Cell_8490	0.1	Fibroblasts	1528	1141	Stromal_cells
Cell_8491	0.8	T_cells	875	719	Immune_cells
Cell_8492	0.4	T_cells	941	757	Immune_cells
Cell_8493	0.5	T_cells	786	662	Immune_cells
Cell_8494	0.7	T_cells	853	703	Immune_cells
Cell_8495	0.8	T_cells	830	698	Immune_cells
Cell_8496	1.3	T_cells	1167	920	Immune_cells
Cell_8497	0.9	B_cell	1072	842	Immune_cells
Cell_8498	2.1	Fibroblasts	1228	936	Stromal_cells
Cell_8499	0.3	T_cells	906	760	Immune_cells
Cell_8500	0.9	Endothelial_cells	661	555	Stromal_cells
Cell_8501	0.5	Endothelial_cells	1839	1228	Stromal_cells
Cell_8502	0.8	T_cells	803	687	Immune_cells
Cell_8503	4	T_cells	1191	942	Immune_cells
Cell_8504	0.5	T_cells	1122	889	Immune_cells
Cell_8505	1	Smooth_muscle_cells	521	420	Stromal_cells
Cell_8506	0.4	Osteoblasts	17119	6009	Stromal_cells
Cell_8507	0.8	Monocyte	1010	770	Immune_cells
Cell_8508	1.5	Platelets	965	800	
Cell_8509	0.1	Chondrocytes	1465	1108	Stromal_cells
Cell_8510	0.8	NK_cell	783	668	Immune_cells
Cell_8511	60.5	Smooth_muscle_cells	621	232	Stromal_cells
Cell_8512	0.5	Neurons	1904	1250	
Cell_8513	0	T_cells	673	574	Immune_cells
Cell_8514	0.3	Fibroblasts	17908	5683	Stromal_cells
Cell_8515	0.4	B_cell	1124	906	Immune_cells
Cell_8516	0.3	Macrophage	1572	1151	Immune_cells
Cell_8517	0.1	Epithelial_cells	1197	887	Epithelial_cells
Cell_8518	0.9	Smooth_muscle_cells	3085	2003	Stromal_cells
Cell_8519	0.2	Macrophage	1171	912	Immune_cells
Cell_8520	0.2	T_cells	1054	866	Immune_cells
Cell_8521	0.3	NK_cell	957	768	Immune_cells
Cell_8522	0.2	T_cells	993	795	Immune_cells
Cell_8523	0.2	T_cells	892	741	Immune_cells
Cell_8524	0.3	Endothelial_cells	8799	4027	Stromal_cells
Cell_8525	1	Platelets	809	694	
Cell_8526	0	T_cells	512	453	Immune_cells
Cell_8527	1.4	Fibroblasts	594	511	Stromal_cells
Cell_8528	1.2	Monocyte	806	700	Immune_cells
Cell_8529	0.1	T_cells	1037	811	Immune_cells
Cell_8530	2.6	Astrocyte	1174	859	
Cell_8531	0.6	T_cells	1182	909	Immune_cells
Cell_8532	0.4	T_cells	1145	900	Immune_cells
Cell_8533	0.9	Chondrocytes	553	452	Stromal_cells
Cell_8534	0.2	T_cells	11898	4572	Immune_cells
Cell_8535	0.3	T_cells	1578	1130	Immune_cells
Cell_8536	0.5	T_cells	595	518	Immune_cells
Cell_8537	0.2	Fibroblasts	7098	3557	Stromal_cells
Cell_8538	0.3	Neurons	1788	1222	
Cell_8539	0.4	Epithelial_cells	1935	1292	Epithelial_cells
Cell_8540	0.4	Fibroblasts	3431	2057	Stromal_cells
Cell_8541	0.7	T_cells	765	652	Immune_cells
Cell_8542	0.5	Astrocyte	1524	1057	
Cell_8543	0.2	Fibroblasts	1130	870	Stromal_cells
Cell_8544	0.8	T_cells	515	454	Immune_cells
Cell_8545	0.2	MSC	7945	3952	
Cell_8546	0.1	Epithelial_cells	1567	1112	Epithelial_cells
Cell_8547	0.4	Macrophage	857	679	Immune_cells
Cell_8548	0.3	Monocyte	1554	1162	Immune_cells
